attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma
70.0,64.0,17247.0,3662.0,16475.0,4880.0,8128.0,8054.0,6696.0,3690.0
75.0,75.0,21509.0,8083.0,8395.0,1906.0,3196.0,6383.0,1227.0,3726.0
87.0,69.0,20974.0,3757.0,6293.0,5421.0,8417.0,19000.0,3260.0,1870.0
83.0,78.0,30807.0,4667.0,4392.0,1182.0,3588.0,7535.0,9011.0,5443.0
90.0,57.0,27130.0,12524.0,2901.0,3281.0,3916.0,10804.0,6282.0,2617.0
97.0,48.0,12277.0,9987.0,1923.0,5933.0,1854.0,15299.0,8479.0,2043.0
90.0,24.0,19399.0,25941.0,546.0,1642.0,8649.0,14795.0,6138.0,3892.0
78.0,27.0,49414.0,20374.0,6633.0,5851.0,5941.0,8725.0,4211.0,1793.0
64.0,38.0,14649.0,25018.0,17969.0,4219.0,18369.0,7415.0,3513.0,1844.0
64.0,35.0,26657.0,10912.0,3658.0,1831.0,6231.0,13395.0,4031.0,3630.0
61.0,44.0,15810.0,23947.0,2474.0,2086.0,8277.0,12122.0,8978.0,1529.0
51.0,43.0,17066.0,37210.0,8500.0,9177.0,12219.0,5669.0,2951.0,1807.0
50.0,44.0,163100.0,55082.0,28255.0,12056.0,18764.0,12482.0,4945.0,2516.0
48.0,53.0,10984.0,8543.0,3359.0,5708.0,5695.0,11615.0,8850.0,2625.0
54.0,69.0,9450.0,7194.0,5917.0,8187.0,7390.0,14689.0,7897.0,1296.0
57.0,84.0,14311.0,11607.0,11858.0,6492.0,2886.0,3854.0,7763.0,3251.0
69.0,74.0,24540.0,16408.0,2824.0,4341.0,6336.0,10956.0,7835.0,2437.0
54.0,81.0,37993.0,21243.0,12969.0,12249.0,7413.0,7457.0,6850.0,1215.0
38.0,77.0,17765.0,42305.0,13259.0,3861.0,5234.0,10206.0,4099.0,4757.0
50.0,70.0,21605.0,5693.0,9634.0,1301.0,5716.0,6558.0,5230.0,3295.0
