attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma
48.0,56.0,904853.0,22430.0,608.0,5175.0,2049.0,2695.0,1748.962967167793,1097.373118392934
44.0,48.0,630799.0,15735.0,4123.0,4787.0,4476.0,4635.0,1987.5463116444064,1251.6652675665578
61.0,37.0,256033.0,46266.0,17363.0,11058.0,57214.0,41893.0,27307.61684412638,20372.169098441987
63.0,35.0,414821.0,102456.0,29012.0,21689.0,11771.0,21514.0,6763.131740640064,5220.173556013655
70.0,43.0,157577.0,37690.0,7117.0,22476.0,25667.0,17089.0,10409.503804609874,8698.288583224488
74.0,51.0,25515.0,47992.0,38240.0,19415.0,9714.0,22568.0,6070.574932909917,3970.9287871329607
61.0,48.0,49077.0,118572.0,20960.0,1645.0,14813.0,21578.0,7925.943882315372,3924.197488645279
57.0,38.0,732199.0,100423.0,5135.0,16783.0,28307.0,10489.0,9199.338551861874,6775.752002437687
54.0,35.0,111072.0,13134.0,2282.0,4058.0,4754.0,3097.0,1881.3419180713242,1255.1519376056874
53.0,26.0,333301.0,57681.0,4482.0,27721.0,20316.0,15905.0,6959.043615781082,4461.510050340975
53.0,41.0,23862.0,41272.0,17149.0,18478.0,11581.0,11832.0,5528.541258575676,3249.0196632836924
50.0,53.0,208133.0,77024.0,26046.0,10381.0,13765.0,7250.0,4808.7776019364865,3638.16302079656
50.0,54.0,555503.0,79860.0,19382.0,31827.0,36682.0,20942.0,17472.19486828793,12657.572466968384
51.0,53.0,82432.0,63820.0,31257.0,8277.0,30573.0,21599.0,13080.850032881955,9020.260802659677
40.0,40.0,228085.0,226036.0,38025.0,11460.0,31087.0,10919.0,6760.836946406701,4707.490024062562
48.0,41.0,718325.0,21309.0,9038.0,4292.0,4120.0,6929.0,2503.7678347155747,2616.0715761509528
54.0,43.0,21976.0,32464.0,13514.0,17047.0,19986.0,21358.0,9904.522348858542,7351.301178994481
53.0,50.0,15584.0,38803.0,37967.0,6737.0,13453.0,16355.0,7124.5101871587485,3821.4809291770566
64.0,38.0,290705.0,193309.0,5823.0,11856.0,29705.0,27904.0,16765.64630288528,13500.882469747225
57.0,37.0,132256.0,131817.0,17232.0,37511.0,11932.0,17191.0,7556.34532212256,4327.411335880868
63.0,40.0,338719.0,25501.0,24996.0,10874.0,3195.0,33394.0,7787.050017039112,3922.6552039909684
64.0,29.0,242907.0,110779.0,2555.0,39219.0,21089.0,35005.0,13743.868018476345,13835.45423593803
67.0,56.0,92258.0,24228.0,18028.0,34621.0,37623.0,15348.0,10326.867736873482,6410.075970349497
75.0,61.0,642763.0,81458.0,16467.0,47522.0,10858.0,29805.0,8394.68321348122,5284.56564235605
63.0,61.0,459255.0,33180.0,19284.0,8943.0,8345.0,8792.0,3253.432727623536,2308.6320129956766
63.0,61.0,478919.0,90563.0,10840.0,20727.0,24902.0,27631.0,10811.110365277373,8284.585660700128
60.0,57.0,166769.0,99304.0,24742.0,48030.0,11543.0,23983.0,6584.184611655899,6037.636824362082
54.0,61.0,92947.0,38396.0,46939.0,7316.0,23750.0,10736.0,7034.326698616948,4606.860659945894
53.0,60.0,223127.0,27195.0,13109.0,3904.0,7161.0,5530.0,3468.411663349968,1830.2079831880633
47.0,63.0,1146834.0,172488.0,37060.0,23966.0,11438.0,24313.0,7911.268804705785,6985.650240629298
44.0,74.0,104187.0,41169.0,77075.0,5290.0,21520.0,14069.0,6469.203150550386,4695.662956889434
53.0,60.0,276120.0,46788.0,22952.0,5214.0,30687.0,28199.0,15166.13027038855,12276.30304231614
51.0,61.0,932605.0,46630.0,26672.0,10978.0,17860.0,8445.0,4972.66961521008,2561.601503714821
63.0,75.0,64833.0,3096.0,4605.0,2752.0,2557.0,3404.0,1983.1393245606475,1470.6522049917266
77.0,56.0,107990.0,61464.0,7189.0,28023.0,43886.0,47329.0,23303.339747155103,17442.613869306795
74.0,64.0,6785.0,26242.0,19296.0,18644.0,23772.0,17280.0,8924.64634605965,6537.441937603506
66.0,56.0,479363.0,309765.0,63634.0,27989.0,23768.0,19879.0,11188.441842712593,6712.9621884801945
56.0,34.0,429440.0,120048.0,2356.0,15860.0,8152.0,13426.0,6229.236668478897,4773.692104729891
44.0,43.0,647945.0,145242.0,77243.0,24113.0,20678.0,33022.0,10012.194338050209,7928.831961853754
35.0,47.0,1320463.0,36848.0,24662.0,9443.0,5546.0,6582.0,2500.261329535947,2025.6913383686156
